Player_A,Player_B,Team,Minutes_Together,Net_Rating
F. Wagner,P. Banchero,ORL,1561.815,5.428571428571429
S. Gilgeous-Alexander,L. Dort,OKC,1555.955,11.5
A. Edwards,J. McDaniels,MIN,1543.594999,7.523809523809524
J. Suggs,P. Banchero,ORL,1541.466666,4.4
J. Hart,J. Brunson,NYK,1538.568333,13.40625
L. James,A. Davis,LAL,1537.994997,3.3333333333333335
J. Brunson,D. DiVincenzo,NYK,1518.761667,9.333333333333334
A. Davis,D. Russell,LAL,1517.3916649999999,5.32
F. VanVleet,D. Brooks,HOU,1502.293335,1.85
J. Tatum,D. White,BOS,1494.226667,18.736842105263158
F. VanVleet,J. Smith Jr.,HOU,1489.82167,0.0
L. James,A. Reaves,LAL,1482.086665,2.8333333333333335
G. Antetokounmpo,M. Beasley,MIL,1478.276666,16.2
C. Holmgren,J. Williams,OKC,1470.304999,12.2
J. Harden,K. Leonard,LAC,1468.818335,10.583333333333334
D. DeRozan,A. Caruso,CHI,1462.568334,1.608695652173913
K. Durant,D. Booker,PHX,1459.4949980000001,8.565217391304348
K. Durant,J. Nurkic,PHX,1438.268331,11.869565217391305
S. Gilgeous-Alexander,C. Holmgren,OKC,1436.358332,14.047619047619047
D. Murray,S. Bey,ATL,1434.733335,-3.185185185185185
J. Hart,D. DiVincenzo,NYK,1431.29,7.103448275862069
F. VanVleet,A. Sengun,HOU,1421.413336,5.238095238095238
P. George,K. Leonard,LAC,1417.063335,17.571428571428573
J. Brown,J. Tatum,BOS,1412.013334,12.842105263157896
D. Vassell,J. Sochan,SAS,1408.751669,-5.3076923076923075
M. Conley,A. Edwards,MIN,1397.023332,11.666666666666666
L. Dort,J. Williams,OKC,1394.896667,12.818181818181818
R. Gobert,J. McDaniels,MIN,1389.366666,9.647058823529411
M. Turner,T. Haliburton,IND,1375.079999,11.954545454545455
M. Bridges,N. Claxton,BKN,1371.341668,-6.208333333333333
J. Allen,M. Strus,CLE,1370.081668,10.727272727272727
L. James,D. Russell,LAL,1366.653333,4.375
L. Dort,C. Holmgren,OKC,1365.671667,16.157894736842106
P. George,I. Zubac,LAC,1361.885,14.333333333333334
B. Lopez,G. Antetokounmpo,MIL,1347.503332,18.555555555555557
J. Nurkic,G. Allen,PHX,1343.709999,13.6
D. Booker,G. Allen,PHX,1342.899999,9.5
T. Harris,T. Maxey,PHI,1334.67,6.787878787878788
D. DeRozan,A. Dosunmu,CHI,1330.786667,-2.0
K. Towns,A. Edwards,MIN,1329.863333,16.470588235294116
N. Jokic,J. Murray,DEN,1312.836666,33.46153846153846
M. Bridges,B. Miller,CHA,1309.520001,-8.257142857142858
D. Brooks,J. Smith Jr.,HOU,1301.235002,-5.5
J. Murray,M. Porter Jr.,DEN,1299.198333,33.333333333333336
J. Holiday,J. Brown,BOS,1294.246667,12.0
C. McCollum,H. Jones,NOP,1292.688335,5.5
K. Kuzma,J. Poole,WAS,1286.943332,-15.1
D. Finney-Smith,M. Bridges,BKN,1281.1266679999999,-2.6538461538461537
J. Harden,T. Mann,LAC,1277.74,9.777777777777779
J. Holiday,D. White,BOS,1267.486667,18.53846153846154
D. Mitchell,J. Allen,CLE,1267.355,11.428571428571429
F. Wagner,J. Suggs,ORL,1264.609999,9.235294117647058
A. Davis,T. Prince,LAL,1264.498332,1.2666666666666666
J. Giddey,C. Holmgren,OKC,1255.798333,20.46153846153846
J. Randle,J. Brunson,NYK,1254.828334,9.347826086956522
D. Mitchell,M. Strus,CLE,1253.453333,11.454545454545455
J. Giddey,J. Williams,OKC,1241.793334,17.0
J. Harden,I. Zubac,LAC,1241.1350009999999,9.785714285714286
D. Sabonis,K. Huerter,SAC,1240.7433330000001,5.875
M. Conley,J. McDaniels,MIN,1234.306666,7.125
D. Russell,A. Reaves,LAL,1229.420001,1.736842105263158
P. George,T. Mann,LAC,1229.098333,13.9375
D. Murray,D. Hunter,ATL,1224.121668,-0.4583333333333333
A. Caruso,C. White,CHI,1219.7483339999999,-1.5
I. Hartenstein,D. DiVincenzo,NYK,1213.526668,12.5
D. Brooks,A. Sengun,HOU,1213.2750019999999,1.2666666666666666
K. Porzingis,J. Brown,BOS,1212.430002,16.105263157894736
S. Curry,A. Wiggins,GSW,1207.664999,2.2413793103448274
A. Sengun,J. Smith Jr.,HOU,1206.203336,0.0
S. Gilgeous-Alexander,J. Giddey,OKC,1191.551666,19.642857142857142
K. Leonard,I. Zubac,LAC,1186.831668,14.466666666666667
I. Hartenstein,J. Hart,NYK,1185.808334,18.428571428571427
K. Porzingis,D. White,BOS,1178.941667,24.933333333333334
K. Porzingis,J. Tatum,BOS,1175.848333,15.38888888888889
S. Curry,K. Thompson,GSW,1175.168332,1.0333333333333334
K. Caldwell-Pope,J. Murray,DEN,1174.5149999999999,38.888888888888886
L. Dort,J. Giddey,OKC,1173.875,18.0
B. Bogdanovic,D. Murray,ATL,1170.793333,4.068965517241379
N. Vucevic,A. Caruso,CHI,1170.618333,-0.26666666666666666
Z. Williamson,H. Jones,NOP,1167.1550009999999,5.705882352941177
B. Ingram,H. Jones,NOP,1165.673332,5.142857142857143
T. Young,S. Bey,ATL,1161.831667,-1.894736842105263
A. Gordon,J. Murray,DEN,1160.0049999999999,34.22222222222222
I. Hartenstein,J. Brunson,NYK,1156.496668,23.11764705882353
J. Nurkic,D. Booker,PHX,1149.914998,13.533333333333333
T. Jones,J. Poole,WAS,1138.388332,-20.5
R. Hachimura,A. Reaves,LAL,1135.411666,5.434782608695652
R. Gobert,K. Towns,MIN,1131.373333,15.642857142857142
K. Leonard,T. Mann,LAC,1130.061667,11.714285714285714
K. Kuzma,D. Avdija,WAS,1128.0233329999999,-13.285714285714286
C. McCollum,Z. Williamson,NOP,1125.955002,1.1111111111111112
D. Vassell,T. Jones,SAS,1121.086668,3.1739130434782608
A. Horford,J. Tatum,BOS,1119.963333,11.083333333333334
D. Murray,J. Johnson,ATL,1116.378333,-5.117647058823529
L. James,T. Prince,LAL,1112.614999,0.3333333333333333
H. Barnes,K. Huerter,SAC,1103.2450000000001,4.3
N. Vucevic,A. Dosunmu,CHI,1101.488333,-0.8095238095238095
C. White,A. Dosunmu,CHI,1091.716669,-1.9
D. Murray,T. Young,ATL,1078.161668,-10.235294117647058
D. Russell,T. Prince,LAL,1076.390001,0.48148148148148145
K. Durant,B. Beal,PHX,1076.089999,8.88888888888889
M. Bridges,C. Thomas,BKN,1072.450001,-8.44
M. Conley,K. Towns,MIN,1067.3866659999999,12.0625
T. Jones,D. Avdija,WAS,1064.581666,-17.615384615384617
J. Allen,D. Garland,CLE,1057.213333,0.2631578947368421
D. Vassell,V. Wembanyama,SAS,1053.578333,5.333333333333333
T. Young,J. Johnson,ATL,1047.681667,-4.055555555555555
J. Poole,D. Avdija,WAS,1047.429999,-10.529411764705882
W. Carter Jr.,P. Banchero,ORL,1035.846667,1.3333333333333333
B. Bogdanovic,S. Bey,ATL,1032.103333,6.96
M. Turner,A. Nesmith,IND,1028.9,7.3478260869565215
T. Jones,V. Wembanyama,SAS,1027.251667,4.695652173913044
S. Dinwiddie,M. Bridges,BKN,1021.49,-0.5555555555555556
K. Irving,L. Doncic,DAL,1020.866667,7.851851851851852
J. Sochan,V. Wembanyama,SAS,1020.821666,0.07692307692307693
T. Jones,D. Gafford,WAS,1016.38,-16.0
I. Zubac,T. Mann,LAC,1015.4633329999999,11.8
N. Reid,A. Edwards,MIN,1013.075,7.8076923076923075
A. Davis,R. Hachimura,LAL,1012.5833329999999,4.4375
K. Kuzma,D. Gafford,WAS,1012.0749999999999,-14.6
J. Allen,I. Okoro,CLE,1011.6783330000001,3.65
T. Prince,A. Reaves,LAL,1005.5,-2.607142857142857
K. Towns,J. McDaniels,MIN,1001.5749989999999,15.461538461538462
S. Curry,D. Green,GSW,1001.284998,9.391304347826088
N. Alexander-Walker,A. Edwards,MIN,999.525,6.68
K. Johnson,D. Vassell,SAS,987.660001,-3.111111111111111
K. Huerter,K. Murray,SAC,985.331666,8.777777777777779
C. McCollum,B. Ingram,NOP,983.430001,0.7857142857142857
J. Holiday,K. Porzingis,BOS,979.655,21.272727272727273
K. Oubre Jr.,T. Maxey,PHI,975.209998,1.8275862068965518
N. Richards,B. Miller,CHA,974.011668,-9.296296296296296
B. Lopez,K. Middleton,MIL,971.615001,10.375
C. Capela,S. Bey,ATL,970.885001,-5.142857142857143
T. Haliburton,A. Nesmith,IND,964.918333,11.052631578947368
T. Jones,J. Sochan,SAS,961.550001,1.0625
D. Fox,K. Huerter,SAC,953.4216670000001,13.0
M. Wagner,C. Anthony,ORL,951.736669,3.607142857142857
K. Durant,E. Gordon,PHX,949.0549990000001,6.925925925925926
K. Anderson,A. Edwards,MIN,945.946668,4.777777777777778
B. Bogdanovic,J. Johnson,ATL,935.003332,3.9130434782608696
W. Carter Jr.,F. Wagner,ORL,931.696667,7.466666666666667
D. Jones Jr.,L. Doncic,DAL,930.121665,5.25
B. Beal,G. Allen,PHX,925.133332,11.846153846153847
K. Middleton,M. Beasley,MIL,921.993335,11.461538461538462
M. Bridges,C. Johnson,BKN,920.516667,-3.076923076923077
B. Adebayo,D. Robinson,MIA,920.250002,-0.5357142857142857
D. Finney-Smith,N. Claxton,BKN,918.873335,-2.7857142857142856
D. Sabonis,M. Monk,SAC,918.596666,-1.2333333333333334
B. Beal,D. Booker,PHX,915.733332,10.571428571428571
J. Butler,B. Adebayo,MIA,913.849999,5.956521739130435
A. Horford,D. White,BOS,911.143335,15.3125
J. Harden,N. Powell,LAC,910.358331,10.222222222222221
K. Thompson,J. Kuminga,GSW,909.251667,3.962962962962963
S. Curry,J. Kuminga,GSW,908.2049979999999,7.315789473684211
R. Jackson,N. Jokic,DEN,907.276668,13.357142857142858
B. Ingram,Z. Williamson,NOP,905.49,3.076923076923077
K. Anderson,N. Reid,MIN,898.278333,3.6206896551724137
W. Carter Jr.,J. Suggs,ORL,896.686667,6.153846153846154
L. Markkanen,J. Collins,UTA,896.368332,-1.2857142857142858
B. Portis,P. Connaughton,MIL,895.72,0.4827586206896552
K. Thompson,A. Wiggins,GSW,894.876666,-3.652173913043478
M. Turner,A. Nembhard,IND,893.744999,2.6470588235294117
K. Middleton,G. Antetokounmpo,MIL,889.546668,18.53846153846154
C. Capela,T. Young,ATL,881.296667,-6.583333333333333
M. Strus,E. Mobley,CLE,875.903332,2.4444444444444446
D. Garland,E. Mobley,CLE,870.956667,2.0
C. Cunningham,J. Duren,DET,870.328335,-2.25
D. Russell,R. Hachimura,LAL,868.3300009999999,4.428571428571429
K. Johnson,J. Sochan,SAS,867.720001,-6.842105263157895
A. Nembhard,A. Nesmith,IND,866.153332,4.473684210526316
J. Ivey,J. Duren,DET,865.240001,-3.1
L. James,R. Hachimura,LAL,863.138333,8.823529411764707
A. Horford,J. Brown,BOS,859.030002,9.176470588235293
M. Bridges,N. Richards,CHA,852.406668,-10.04
C. Capela,B. Bogdanovic,ATL,851.601666,4.352941176470588
J. Collins,C. Sexton,UTA,851.323331,-1.0454545454545454
C. Capela,D. Hunter,ATL,850.836668,4.454545454545454
T. Harris,K. Oubre Jr.,PHI,846.844998,0.52
C. LeVert,J. Allen,CLE,845.535,4.2727272727272725
R. Gobert,N. Alexander-Walker,MIN,844.73,6.318181818181818
C. Cunningham,J. Ivey,DET,843.688335,-0.8571428571428571
B. Beal,J. Nurkic,PHX,843.086664,10.583333333333334
B. Bogdanovic,O. Okongwu,ATL,840.4399999999999,5.16
J. Grant,D. Ayton,POR,839.824997,-5.173913043478261
C. Capela,J. Johnson,ATL,839.5599990000001,-14.875
N. Alexander-Walker,N. Reid,MIN,837.425,6.5
L. Markkanen,C. Sexton,UTA,835.836666,2.2941176470588234
P. George,N. Powell,LAC,835.2016649999999,10.482758620689655
J. Clarkson,K. George,UTA,832.671665,-4.285714285714286
C. LeVert,G. Niang,CLE,831.848333,4.791666666666667
N. Claxton,C. Thomas,BKN,831.5866679999999,-12.133333333333333
K. Anderson,N. Alexander-Walker,MIN,831.275001,3.0
D. Lillard,K. Middleton,MIL,826.756669,17.4
D. DeRozan,A. Drummond,CHI,824.758334,1.1379310344827587
D. Gafford,J. Poole,WAS,823.5733319999999,-21.666666666666668
A. Horford,J. Holiday,BOS,820.293333,9.5
C. Braun,P. Watson,DEN,818.96,-0.5909090909090909
S. Bey,J. Johnson,ATL,818.14,-0.5555555555555556
A. Nembhard,T. Haliburton,IND,813.973332,7.416666666666667
D. Green,A. Wiggins,GSW,808.849999,8.428571428571429
J. Collins,K. George,UTA,804.9499979999999,-6.521739130434782
D. Fox,M. Monk,SAC,803.909999,1.4838709677419355
T. Hardaway Jr.,L. Doncic,DAL,801.813333,-0.09090909090909091
R. Jackson,M. Porter Jr.,DEN,801.716668,7.8125
D. Lillard,B. Portis,MIL,798.3033350000001,1.68
M. Strus,D. Garland,CLE,797.6766680000001,5.428571428571429
C. McCollum,T. Murphy III,NOP,792.658335,7.105263157894737
L. Doncic,D. Lively II,DAL,786.101668,5.769230769230769
N. Batum,T. Maxey,PHI,784.013332,11.80952380952381
J. Kuminga,B. Podziemski,GSW,783.894997,8.5
B. Adebayo,T. Herro,MIA,783.641666,2.740740740740741
K. Johnson,V. Wembanyama,SAS,780.923332,-0.17647058823529413
O. Okongwu,S. Bey,ATL,780.01,4.95
R. Westbrook,N. Powell,LAC,777.878332,4.615384615384615
R. Jackson,K. Caldwell-Pope,DEN,777.6766690000001,10.636363636363637
G. Harris,F. Wagner,ORL,774.495003,8.0
P. Siakam,S. Barnes,TOR,771.905,1.2857142857142858
N. Claxton,C. Johnson,BKN,771.680001,-5.777777777777778
C. White,P. Williams,CHI,768.770001,1.1764705882352942
G. Harris,P. Banchero,ORL,766.541668,2.1333333333333333
J. Poeltl,S. Barnes,TOR,765.665,-0.3333333333333333
D. Schroder,P. Siakam,TOR,764.846666,-2.5384615384615383
S. Gilgeous-Alexander,I. Joe,OKC,763.406666,7.678571428571429
A. Caruso,A. Dosunmu,CHI,763.1899999999999,-0.3076923076923077
T. Harris,J. Embiid,PHI,761.553334,14.785714285714286
G. Antetokounmpo,P. Connaughton,MIL,761.366667,1.8636363636363635
R. Jackson,C. Braun,DEN,760.295001,0.631578947368421
B. Adebayo,J. Jaquez Jr.,MIA,759.09,1.0333333333333334
G. Antetokounmpo,B. Portis,MIL,758.841669,-0.32
K. Kuzma,B. Coulibaly,WAS,756.861667,-11.095238095238095
B. Bogdanovic,T. Young,ATL,753.863333,4.260869565217392
I. Stewart,C. Cunningham,DET,750.976668,-2.05
J. Hart,M. McBride,NYK,749.245,2.526315789473684
P. Siakam,A. Nembhard,IND,747.7066659999999,4.0
J. Hart,P. Achiuwa,NYK,741.236666,0.8823529411764706
J. Clarkson,J. Collins,UTA,740.4533309999999,-6.45
J. Embiid,T. Maxey,PHI,736.425,21.0
M. Monk,K. Murray,SAC,732.683334,1.1304347826086956
K. Towns,N. Alexander-Walker,MIN,728.9233340000001,3.6
J. Green,A. Thompson,HOU,727.978335,2.4761904761904763
B. Bogdanovic,D. Hunter,ATL,724.6,6.294117647058823
J. Tatum,S. Hauser,BOS,724.246667,9.115384615384615
Z. Williamson,T. Murphy III,NOP,723.640002,5.380952380952381
P. Pritchard,S. Hauser,BOS,722.831668,9.357142857142858
J. Poeltl,P. Siakam,TOR,721.743333,-6.4
D. Schroder,S. Barnes,TOR,721.075,-0.2
T. Young,O. Okongwu,ATL,719.263333,1.7777777777777777
T. Jones,J. Champagnie,SAS,718.515002,3.5384615384615383
R. Jackson,P. Watson,DEN,713.703333,-1.4736842105263157
Z. Collins,K. Johnson,SAS,713.038333,-9.8
J. Randle,D. DiVincenzo,NYK,709.723334,4.928571428571429
P. Siakam,T. Haliburton,IND,709.6916659999999,10.857142857142858
J. Randle,I. Hartenstein,NYK,708.086667,17.0
R. Gobert,N. Reid,MIN,707.954999,6.7
S. Dinwiddie,N. Claxton,BKN,707.348335,-9.75
S. Dinwiddie,C. Johnson,BKN,706.0816669999999,-2.6666666666666665
J. Ingles,C. Anthony,ORL,704.723333,4.944444444444445
H. Jones,T. Murphy III,NOP,701.223335,10.0
K. Thompson,D. Green,GSW,700.181665,6.7368421052631575
E. Gordon,D. Booker,PHX,700.163332,8.31578947368421
T. Jones,B. Coulibaly,WAS,699.433333,-13.777777777777779
T. Maxey,P. Reed,PHI,694.713333,2.892857142857143
D. Mitchell,I. Okoro,CLE,692.911666,5.666666666666667
M. Turner,P. Siakam,IND,692.8283329999999,10.0
D. DeRozan,P. Williams,CHI,692.698333,0.07142857142857142
K. Leonard,N. Powell,LAC,691.613332,8.19047619047619
N. Powell,A. Coffey,LAC,690.413331,5.666666666666667
C. Cunningham,A. Thompson,DET,689.628335,-5.882352941176471
B. Adebayo,C. Martin,MIA,688.733333,0.2608695652173913
J. Williams,C. Wallace,OKC,687.776666,2.8181818181818183
J. Champagnie,V. Wembanyama,SAS,687.670002,2.5833333333333335
T. Harris,D. Melton,PHI,686.375,14.538461538461538
J. Allen,E. Mobley,CLE,682.993333,-0.7
E. Gordon,G. Allen,PHX,682.833333,11.6
D. Gafford,D. Avdija,WAS,680.92,-19.75
Z. Collins,J. Sochan,SAS,678.683333,-12.833333333333334
C. Anthony,F. Wagner,ORL,677.838335,6.173913043478261
J. Clarkson,L. Markkanen,UTA,675.668332,-0.25
C. Paul,K. Thompson,GSW,674.143333,2.125
D. Mitchell,E. Mobley,CLE,671.514999,4.153846153846154
J. Randle,J. Hart,NYK,669.01,11.529411764705882
P. Siakam,A. Nesmith,IND,667.9499989999999,9.0
L. Doncic,J. Green,DAL,667.848331,-0.42857142857142855
R. Gobert,K. Anderson,MIN,667.040001,1.25
D. Lillard,P. Connaughton,MIL,662.461667,5.444444444444445
M. Strus,I. Okoro,CLE,662.32,5.6923076923076925
S. Curry,B. Podziemski,GSW,662.263332,4.055555555555555
K. Thompson,B. Podziemski,GSW,661.883333,0.08695652173913043
S. Dinwiddie,D. Finney-Smith,BKN,660.103334,5.090909090909091
N. Batum,T. Harris,PHI,659.876665,10.333333333333334
J. Tatum,P. Pritchard,BOS,659.310001,7.608695652173913
D. Finney-Smith,C. Thomas,BKN,659.293335,-5.176470588235294
Z. Collins,D. Vassell,SAS,658.048333,-12.157894736842104
G. Bitadze,P. Banchero,ORL,653.906666,7.083333333333333
D. Lillard,J. Crowder,MIL,652.4,-0.3076923076923077
G. Trent Jr.,S. Barnes,TOR,651.870002,-0.5
D. Robinson,J. Jaquez Jr.,MIA,650.846668,1.7307692307692308
K. Irving,D. Jones Jr.,DAL,649.8216659999999,8.352941176470589
R. Jackson,A. Gordon,DEN,649.593335,10.88888888888889
P. Siakam,O. Anunoby,TOR,649.389999,-0.5555555555555556
R. Westbrook,P. George,LAC,648.895001,5.130434782608695
M. Turner,B. Brown,IND,646.953335,6.5625
D. Vassell,J. Champagnie,SAS,646.4366679999999,-0.6666666666666666
J. Ingles,M. Wagner,ORL,641.989999,5.3125
K. Johnson,T. Jones,SAS,640.410001,0.38095238095238093
D. Schroder,J. Poeltl,TOR,638.483333,-7.875
N. Vucevic,Z. LaVine,CHI,635.115,-6.363636363636363
K. Johnson,M. Branham,SAS,634.615,-9.473684210526315
S. Curry,K. Looney,GSW,634.048334,-3.5
C. Holmgren,C. Wallace,OKC,633.651665,0.5263157894736842
D. Melton,T. Maxey,PHI,632.275,17.4
J. Champagnie,J. Sochan,SAS,630.83,0.125
K. Thompson,K. Looney,GSW,628.903334,-3.0833333333333335
C. LeVert,I. Okoro,CLE,627.98,0.3076923076923077
D. DiVincenzo,M. McBride,NYK,627.901668,3.25
J. Brunson,M. Robinson,NYK,627.896667,4.2
N. Vucevic,P. Williams,CHI,627.768333,1.75
C. Martin,J. Jaquez Jr.,MIA,626.6866660000001,5.833333333333333
J. Valanciunas,H. Jones,NOP,621.588331,3.6842105263157894
T. Rozier,B. Adebayo,MIA,621.304997,0.11764705882352941
J. Allen,D. Wade,CLE,621.258334,12.153846153846153
M. Conley,N. Reid,MIN,620.804998,1.8095238095238095
A. Wiggins,B. Podziemski,GSW,618.841666,2.4210526315789473
L. Doncic,G. Williams,DAL,618.495,-0.4090909090909091
V. Micic,M. Bridges,CHA,615.75,-7.357142857142857
K. Irving,P. Washington,DAL,612.895001,10.571428571428571
D. Mitchell,D. Garland,CLE,611.838334,7.8
S. Gilgeous-Alexander,C. Wallace,OKC,610.274999,5.45
D. Sabonis,D. Mitchell,SAC,608.561665,2.388888888888889
N. Reid,J. McDaniels,MIN,607.123333,2.7058823529411766
L. Markkanen,K. George,UTA,606.714999,0.75
D. Avdija,C. Kispert,WAS,605.745001,-1.3043478260869565
K. Kuzma,C. Kispert,WAS,604.868333,-5.523809523809524
C. LeVert,D. Garland,CLE,602.601666,3.142857142857143
C. LeVert,M. Strus,CLE,601.096666,8.058823529411764
P. Washington,L. Doncic,DAL,600.011668,9.785714285714286
Z. LaVine,C. White,CHI,599.943334,-8.88888888888889
C. Kispert,B. Coulibaly,WAS,599.711667,-5.318181818181818
J. Crowder,M. Beasley,MIL,599.123334,2.6
D. Schroder,O. Anunoby,TOR,597.896666,-0.2857142857142857
N. Powell,D. Theis,LAC,597.211665,5.157894736842105
J. Harden,A. Coffey,LAC,595.768333,3.736842105263158
J. Butler,C. Martin,MIA,593.379999,6.333333333333333
C. LeVert,D. Mitchell,CLE,591.116667,9.25
G. Niang,J. Allen,CLE,589.606666,0.3888888888888889
E. Gordon,J. Nurkic,PHX,589.174998,12.615384615384615
M. Turner,O. Toppin,IND,588.38,5.529411764705882
D. Ayton,T. Camara,POR,588.078333,-0.6875
J. Grant,T. Camara,POR,587.899999,-5.6875
M. Conley,K. Anderson,MIN,587.091665,1.0952380952380953
D. Sabonis,K. Ellis,SAC,585.221666,2.4615384615384617
G. Niang,I. Okoro,CLE,580.078333,0.8666666666666667
B. Adebayo,H. Highsmith,MIA,579.523333,3.3043478260869565
D. DiVincenzo,P. Achiuwa,NYK,579.423334,-2.3333333333333335
J. Valančiūnas,C. McCollum,NOP,576.788334,1.75
A. Simons,D. Ayton,POR,575.565,-0.7777777777777778
J. Crowder,G. Antetokounmpo,MIL,575.1,6.0
J. Butler,D. Robinson,MIA,574.315,6.846153846153846
P. Banchero,A. Black,ORL,574.076667,6.090909090909091
D. Green,J. Kuminga,GSW,570.869998,17.9
M. Branham,V. Wembanyama,SAS,568.025001,-4.066666666666666
T. Lyles,M. Monk,SAC,565.0,4.84
L. Markkanen,S. Fontecchio,UTA,564.783334,10.375
M. Turner,B. Hield,IND,564.323333,7.764705882352941
O. Toppin,T. Haliburton,IND,561.348332,8.666666666666666
J. Valančiūnas,B. Ingram,NOP,561.3216669999999,6.0
N. Jokic,C. Braun,DEN,558.46,11.6875
R. Westbrook,K. Leonard,LAC,557.703334,4.866666666666666
K. Anderson,K. Towns,MIN,557.4266680000001,3.6842105263157894
B. Portis,M. Beasley,MIL,556.320002,4.117647058823529
D. Garland,I. Okoro,CLE,555.739999,-1.7142857142857142
H. Barnes,M. Monk,SAC,554.986667,-6.444444444444445
D. White,S. Hauser,BOS,554.100001,8.272727272727273
A. Horford,K. Porzingis,BOS,553.736667,14.333333333333334
W. Kessler,K. George,UTA,553.461667,-4.055555555555555
J. Green,J. Tate,HOU,553.276667,1.4210526315789473
M. Strus,D. Wade,CLE,552.5550000000001,13.272727272727273
C. Sexton,S. Fontecchio,UTA,551.258334,8.7
B. Ingram,T. Murphy III,NOP,551.030001,4.444444444444445
J. Clarkson,W. Kessler,UTA,550.361666,-3.4285714285714284
D. Hunter,J. Johnson,ATL,548.323333,-1.4615384615384615
A. Simons,T. Camara,POR,547.246669,-2.8823529411764706
G. Niang,D. Garland,CLE,546.6966649999999,-1.75
T. Young,D. Hunter,ATL,545.803334,-8.090909090909092
G. Bitadze,J. Suggs,ORL,545.594999,4.333333333333333
J. Grant,A. Simons,POR,543.9283320000001,-4.0588235294117645
O. Anunoby,J. Brunson,NYK,543.910001,26.3
D. Finney-Smith,C. Johnson,BKN,539.591667,4.5
B. Lopez,J. Crowder,MIL,539.461666,3.5555555555555554
J. Hart,I. Quickley,NYK,539.455,10.785714285714286
F. Wagner,A. Black,ORL,538.69,2.4
J. Isaac,C. Anthony,ORL,538.360001,16.0
M. Wagner,F. Wagner,ORL,538.140002,6.777777777777778
J. Holiday,S. Hauser,BOS,536.838334,8.705882352941176
I. Stewart,J. Duren,DET,536.821667,-0.9090909090909091
J. Grant,M. Brogdon,POR,536.751665,-5.375
B. Adebayo,N. Jovic,MIA,536.734999,6.25
J. Randle,M. Robinson,NYK,535.375,2.2857142857142856
D. Ayton,S. Henderson,POR,532.966666,-7.578947368421052
O. Okongwu,J. Johnson,ATL,532.6866669999999,5.461538461538462
J. Valančiūnas,H. Jones,NOP,532.018334,18.5
B. Brown,T. Haliburton,IND,531.57,11.88888888888889
R. Barrett,I. Quickley,TOR,530.655002,0.8333333333333334
A. Wiggins,J. Kuminga,GSW,530.518333,4.444444444444445
G. Williams,B. Miller,CHA,530.079999,-7.0
A. Horford,S. Hauser,BOS,529.795001,9.666666666666666
J. Brunson,P. Achiuwa,NYK,525.885,6.583333333333333
J. Valanciunas,B. Ingram,NOP,524.981665,3.55
M. Conley,N. Alexander-Walker,MIN,524.921666,8.294117647058824
O. Anunoby,S. Barnes,TOR,521.9316660000001,3.142857142857143
T. Mann,B. Miller,CHA,521.711666,-11.555555555555555
A. Davis,C. Reddish,LAL,521.418331,-2.090909090909091
D. Hunter,S. Bey,ATL,520.146668,0.1
C. Martin,D. Robinson,MIA,519.538334,0.3157894736842105
T. Harris,P. Reed,PHI,518.611666,2.1578947368421053
