Lineup_Players,Team,Games,Minutes,Plus_Minus,Player_1,Player_2,Player_3,Player_4,Player_5
D. Schroder - J. Poeltl - P. Siakam - O. Anunoby - S. Barnes,TOR,27,366.485,-7.0,D. Schroder,J. Poeltl,P. Siakam,O. Anunoby,S. Barnes
S. Dinwiddie - D. Finney-Smith - M. Bridges - N. Claxton - C. Johnson,BKN,27,313.271667,30.0,S. Dinwiddie,D. Finney-Smith,M. Bridges,N. Claxton,C. Johnson
A. Horford - J. Holiday - J. Brown - J. Tatum - D. White,BOS,32,310.55,20.0,A. Horford,J. Holiday,J. Brown,J. Tatum,D. White
G. Harris - W. Carter Jr. - F. Wagner - J. Suggs - P. Banchero,ORL,21,299.808333,77.0,G. Harris,W. Carter Jr.,F. Wagner,J. Suggs,P. Banchero
B. Lopez - D. Lillard - J. Crowder - G. Antetokounmpo - M. Beasley,MIL,24,293.418333,93.0,B. Lopez,D. Lillard,J. Crowder,G. Antetokounmpo,M. Beasley
C. Capela - D. Murray - T. Young - S. Bey - J. Johnson,ATL,21,288.68,-88.0,C. Capela,D. Murray,T. Young,S. Bey,J. Johnson
M. Fultz - W. Carter Jr. - F. Wagner - J. Suggs - P. Banchero,ORL,19,280.483333,33.0,M. Fultz,W. Carter Jr.,F. Wagner,J. Suggs,P. Banchero
G. Bitadze - F. Wagner - J. Suggs - P. Banchero - A. Black,ORL,22,273.548333,56.0,G. Bitadze,F. Wagner,J. Suggs,P. Banchero,A. Black
H. Barnes - D. Sabonis - D. Fox - K. Murray - K. Ellis,SAC,24,261.38,1.0,H. Barnes,D. Sabonis,D. Fox,K. Murray,K. Ellis
K. Dunn - L. Markkanen - J. Collins - C. Sexton - S. Fontecchio,UTA,20,256.116667,26.0,K. Dunn,L. Markkanen,J. Collins,C. Sexton,S. Fontecchio
L. James - A. Davis - D. Russell - T. Prince - A. Reaves,LAL,34,243.161667,2.0,L. James,A. Davis,D. Russell,T. Prince,A. Reaves
D. Mitchell - J. Allen - M. Strus - D. Wade - I. Okoro,CLE,22,232.18,96.0,D. Mitchell,J. Allen,M. Strus,D. Wade,I. Okoro
S. Curry - D. Green - A. Wiggins - J. Kuminga - B. Podziemski,GSW,24,231.548333,59.0,S. Curry,D. Green,A. Wiggins,J. Kuminga,B. Podziemski
J. Randle - J. Brunson - M. Robinson - R. Barrett - Q. Grimes,NYK,14,228.416667,23.0,J. Randle,J. Brunson,M. Robinson,R. Barrett,Q. Grimes
D. Schroder - D. Finney-Smith - M. Bridges - N. Claxton - C. Thomas,BKN,17,228.265,-20.0,D. Schroder,D. Finney-Smith,M. Bridges,N. Claxton,C. Thomas
D. DeRozan - N. Vucevic - Z. LaVine - A. Caruso - C. White,CHI,18,226.865,-19.0,D. DeRozan,N. Vucevic,Z. LaVine,A. Caruso,C. White
S. Dinwiddie - M. Bridges - N. Claxton - C. Johnson - C. Thomas,BKN,24,224.101667,-79.0,S. Dinwiddie,M. Bridges,N. Claxton,C. Johnson,C. Thomas
K. Durant - E. Gordon - J. Nurkic - D. Booker - G. Allen,PHX,36,219.928333,58.0,K. Durant,E. Gordon,J. Nurkic,D. Booker,G. Allen
N. Batum - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,14,218.881667,163.0,N. Batum,T. Harris,J. Embiid,D. Melton,T. Maxey
M. Conley - R. Gobert - N. Reid - A. Edwards - J. McDaniels,MIN,41,200.478333,1.0,M. Conley,R. Gobert,N. Reid,A. Edwards,J. McDaniels
I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo - P. Achiuwa,NYK,12,188.891667,26.0,I. Hartenstein,J. Hart,J. Brunson,D. DiVincenzo,P. Achiuwa
F. VanVleet - D. Brooks - J. Green - J. Smith Jr. - A. Thompson,HOU,15,182.528333,16.0,F. VanVleet,D. Brooks,J. Green,J. Smith Jr.,A. Thompson
J. Butler - T. Rozier - B. Adebayo - D. Robinson - N. Jovic,MIA,14,180.78,-23.0,J. Butler,T. Rozier,B. Adebayo,D. Robinson,N. Jovic
J. Randle - O. Anunoby - I. Hartenstein - J. Brunson - D. DiVincenzo,NYK,10,179.54,62.0,J. Randle,O. Anunoby,I. Hartenstein,J. Brunson,D. DiVincenzo
C. Capela - D. Murray - T. Young - D. Hunter - S. Bey,ATL,16,176.911667,8.0,C. Capela,D. Murray,T. Young,D. Hunter,S. Bey
K. Irving - D. Jones Jr. - P. Washington - L. Doncic - D. Gafford,DAL,17,175.6,59.0,K. Irving,D. Jones Jr.,P. Washington,L. Doncic,D. Gafford
F. VanVleet - J. Green - J. Tate - A. Sengun - J. Smith Jr.,HOU,21,174.691667,-18.0,F. VanVleet,J. Green,J. Tate,A. Sengun,J. Smith Jr.
I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo - M. McBride,NYK,14,171.921667,104.0,I. Hartenstein,J. Hart,J. Brunson,D. DiVincenzo,M. McBride
C. Capela - D. Murray - T. Young - D. Hunter - J. Johnson,ATL,14,171.505,-26.0,C. Capela,D. Murray,T. Young,D. Hunter,J. Johnson
M. Turner - B. Hield - B. Brown - O. Toppin - T. Haliburton,IND,17,170.66,75.0,M. Turner,B. Hield,B. Brown,O. Toppin,T. Haliburton
J. Poeltl - G. Trent Jr. - R. Barrett - I. Quickley - S. Barnes,TOR,10,163.761667,43.0,J. Poeltl,G. Trent Jr.,R. Barrett,I. Quickley,S. Barnes
C. LeVert - G. Niang - J. Allen - D. Garland - I. Okoro,CLE,23,159.943333,-15.0,C. LeVert,G. Niang,J. Allen,D. Garland,I. Okoro
T. Jones - K. Kuzma - D. Gafford - J. Poole - B. Coulibaly,WAS,29,159.906667,-53.0,T. Jones,K. Kuzma,D. Gafford,J. Poole,B. Coulibaly
C. Capela - B. Bogdanovic - D. Murray - D. Hunter - V. Krejci,ATL,11,157.981667,31.0,C. Capela,B. Bogdanovic,D. Murray,D. Hunter,V. Krejci
S. Curry - K. Thompson - D. Green - A. Wiggins - J. Kuminga,GSW,24,157.388333,55.0,S. Curry,K. Thompson,D. Green,A. Wiggins,J. Kuminga
K. Anderson - K. Towns - N. Alexander-Walker - N. Reid - A. Edwards,MIN,43,152.796667,-2.0,K. Anderson,K. Towns,N. Alexander-Walker,N. Reid,A. Edwards
D. DeRozan - N. Vucevic - A. Caruso - C. White - P. Williams,CHI,14,152.785,1.0,D. DeRozan,N. Vucevic,A. Caruso,C. White,P. Williams
H. Barnes - D. Sabonis - D. Fox - M. Monk - K. Murray,SAC,36,151.291667,0.0,H. Barnes,D. Sabonis,D. Fox,M. Monk,K. Murray
L. James - A. Davis - D. Russell - T. Prince - C. Reddish,LAL,14,150.918333,1.0,L. James,A. Davis,D. Russell,T. Prince,C. Reddish
C. McCollum - L. Nance Jr. - B. Ingram - Z. Williamson - H. Jones,NOP,25,149.861667,-17.0,C. McCollum,L. Nance Jr.,B. Ingram,Z. Williamson,H. Jones
C. Capela - B. Bogdanovic - D. Murray - S. Bey - J. Johnson,ATL,20,149.308333,-20.0,C. Capela,B. Bogdanovic,D. Murray,S. Bey,J. Johnson
M. Turner - B. Brown - O. Toppin - T. Haliburton - B. Mathurin,IND,20,147.735,-12.0,M. Turner,B. Brown,O. Toppin,T. Haliburton,B. Mathurin
J. Valanciunas - C. McCollum - Z. Williamson - H. Jones - T. Murphy III,NOP,21,147.726667,0.0,J. Valanciunas,C. McCollum,Z. Williamson,H. Jones,T. Murphy III
J. Harden - P. George - K. Leonard - M. Plumlee - T. Mann,LAC,11,147.695,49.0,J. Harden,P. George,K. Leonard,M. Plumlee,T. Mann
K. Olynyk - J. Clarkson - O. Agbaji - W. Kessler - K. George,UTA,16,145.931667,-36.0,K. Olynyk,J. Clarkson,O. Agbaji,W. Kessler,K. George
I. Stewart - C. Cunningham - J. Ivey - J. Duren - A. Thompson,DET,14,144.746667,-29.0,I. Stewart,C. Cunningham,J. Ivey,J. Duren,A. Thompson
K. Johnson - D. Vassell - T. Jones - J. Sochan - V. Wembanyama,SAS,39,141.625,68.0,K. Johnson,D. Vassell,T. Jones,J. Sochan,V. Wembanyama
S. Curry - K. Thompson - D. Green - A. Wiggins - K. Looney,GSW,13,140.0,-20.0,S. Curry,K. Thompson,D. Green,A. Wiggins,K. Looney
D. DeRozan - N. Vucevic - C. White - P. Williams - A. Dosunmu,CHI,20,139.175,46.0,D. DeRozan,N. Vucevic,C. White,P. Williams,A. Dosunmu
B. Bogdanovic - T. Young - O. Okongwu - S. Bey - J. Johnson,ATL,19,136.295,41.0,B. Bogdanovic,T. Young,O. Okongwu,S. Bey,J. Johnson
N. Batum - T. Harris - J. Embiid - K. Oubre Jr. - T. Maxey,PHI,12,136.153333,20.0,N. Batum,T. Harris,J. Embiid,K. Oubre Jr.,T. Maxey
C. Capela - B. Bogdanovic - D. Murray - D. Hunter - J. Johnson,ATL,24,135.34,-9.0,C. Capela,B. Bogdanovic,D. Murray,D. Hunter,J. Johnson
O. Anunoby - I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo,NYK,10,131.391667,40.0,O. Anunoby,I. Hartenstein,J. Hart,J. Brunson,D. DiVincenzo
J. Clarkson - L. Markkanen - J. Collins - O. Agbaji - K. George,UTA,12,130.01,-26.0,J. Clarkson,L. Markkanen,J. Collins,O. Agbaji,K. George
H. Barnes - D. Sabonis - D. Fox - C. Duarte - K. Murray,SAC,13,129.81,4.0,H. Barnes,D. Sabonis,D. Fox,C. Duarte,K. Murray
M. Conley - R. Gobert - K. Towns - N. Alexander-Walker - A. Edwards,MIN,18,124.478333,22.0,M. Conley,R. Gobert,K. Towns,N. Alexander-Walker,A. Edwards
M. Conley - R. Gobert - K. Anderson - A. Edwards - J. McDaniels,MIN,34,122.821667,-30.0,M. Conley,R. Gobert,K. Anderson,A. Edwards,J. McDaniels
D. DeRozan - N. Vucevic - Z. LaVine - C. White - P. Williams,CHI,15,122.476667,-15.0,D. DeRozan,N. Vucevic,Z. LaVine,C. White,P. Williams
J. Harden - P. George - K. Leonard - N. Powell - I. Zubac,LAC,28,121.336667,62.0,J. Harden,P. George,K. Leonard,N. Powell,I. Zubac
B. Lopez - D. Lillard - G. Antetokounmpo - P. Connaughton - M. Beasley,MIL,26,120.305,67.0,B. Lopez,D. Lillard,G. Antetokounmpo,P. Connaughton,M. Beasley
C. LeVert - G. Niang - D. Garland - I. Okoro - E. Mobley,CLE,17,117.803333,48.0,C. LeVert,G. Niang,D. Garland,I. Okoro,E. Mobley
A. Horford - K. Porzingis - J. Brown - J. Tatum - D. White,BOS,20,117.536667,47.0,A. Horford,K. Porzingis,J. Brown,J. Tatum,D. White
I. Hartenstein - J. Hart - D. DiVincenzo - R. Barrett - I. Quickley,NYK,14,116.293333,10.0,I. Hartenstein,J. Hart,D. DiVincenzo,R. Barrett,I. Quickley
V. Micic - M. Bridges - N. Richards - T. Mann - B. Miller,CHA,12,115.05,-22.0,V. Micic,M. Bridges,N. Richards,T. Mann,B. Miller
C. Cunningham - J. Ivey - J. Duren - S. Fontecchio - A. Thompson,DET,10,113.155,7.0,C. Cunningham,J. Ivey,J. Duren,S. Fontecchio,A. Thompson
J. Grant - M. Brogdon - D. Ayton - S. Sharpe - T. Camara,POR,10,112.583333,-18.0,J. Grant,M. Brogdon,D. Ayton,S. Sharpe,T. Camara
V. Micic - M. Bridges - G. Williams - T. Mann - B. Miller,CHA,15,111.015,-38.0,V. Micic,M. Bridges,G. Williams,T. Mann,B. Miller
J. Butler - B. Adebayo - C. Martin - T. Herro - N. Jovic,MIA,8,109.376667,11.0,J. Butler,B. Adebayo,C. Martin,T. Herro,N. Jovic
J. Randle - J. Hart - J. Brunson - M. Robinson - Q. Grimes,NYK,19,109.361667,-25.0,J. Randle,J. Hart,J. Brunson,M. Robinson,Q. Grimes
T. Harris - J. Embiid - K. Oubre Jr. - D. Melton - T. Maxey,PHI,10,108.74,2.0,T. Harris,J. Embiid,K. Oubre Jr.,D. Melton,T. Maxey
J. Valančiūnas - C. McCollum - B. Ingram - H. Jones - T. Murphy III,NOP,28,108.426667,42.0,J. Valančiūnas,C. McCollum,B. Ingram,H. Jones,T. Murphy III
S. Curry - K. Thompson - K. Looney - J. Kuminga - B. Podziemski,GSW,18,108.24,-41.0,S. Curry,K. Thompson,K. Looney,J. Kuminga,B. Podziemski
H. Barnes - D. Sabonis - K. Huerter - D. Mitchell - K. Murray,SAC,18,106.133333,-30.0,H. Barnes,D. Sabonis,K. Huerter,D. Mitchell,K. Murray
R. Gobert - K. Towns - N. Alexander-Walker - A. Edwards - J. McDaniels,MIN,25,105.925,9.0,R. Gobert,K. Towns,N. Alexander-Walker,A. Edwards,J. McDaniels
A. Horford - J. Holiday - J. Tatum - P. Pritchard - S. Hauser,BOS,32,105.311667,30.0,A. Horford,J. Holiday,J. Tatum,P. Pritchard,S. Hauser
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,IND,9,103.5,-5.0,M. Turner,P. Siakam,A. Nembhard,T. Haliburton,B. Mathurin
D. Murray - T. Young - O. Okongwu - S. Bey - J. Johnson,ATL,14,103.451667,0.0,D. Murray,T. Young,O. Okongwu,S. Bey,J. Johnson
K. Johnson - D. Vassell - M. Branham - J. Sochan - V. Wembanyama,SAS,13,102.625,-7.0,K. Johnson,D. Vassell,M. Branham,J. Sochan,V. Wembanyama
J. Randle - I. Hartenstein - J. Brunson - D. DiVincenzo - R. Barrett,NYK,10,101.97,-17.0,J. Randle,I. Hartenstein,J. Brunson,D. DiVincenzo,R. Barrett
D. Schroder - J. Poeltl - P. Siakam - O. Anunoby - G. Trent Jr.,TOR,24,101.873333,-26.0,D. Schroder,J. Poeltl,P. Siakam,O. Anunoby,G. Trent Jr.
M. Bridges - C. Martin - N. Richards - T. Mann - B. Miller,CHA,8,101.85,-19.0,M. Bridges,C. Martin,N. Richards,T. Mann,B. Miller
G. Harris - J. Ingles - J. Isaac - M. Wagner - C. Anthony,ORL,18,101.745,12.0,G. Harris,J. Ingles,J. Isaac,M. Wagner,C. Anthony
S. Gilgeous-Alexander - L. Dort - I. Joe - C. Holmgren - J. Williams,OKC,37,101.415,59.0,S. Gilgeous-Alexander,L. Dort,I. Joe,C. Holmgren,J. Williams
G. Bitadze - C. Okeke - J. Suggs - P. Banchero - C. Houstan,ORL,8,101.093333,-6.0,G. Bitadze,C. Okeke,J. Suggs,P. Banchero,C. Houstan
L. James - A. Davis - T. Prince - C. Reddish - A. Reaves,LAL,12,100.623333,-29.0,L. James,A. Davis,T. Prince,C. Reddish,A. Reaves
C. McCollum - L. Nance Jr. - Z. Williamson - H. Jones - T. Murphy III,NOP,15,100.27,23.0,C. McCollum,L. Nance Jr.,Z. Williamson,H. Jones,T. Murphy III
K. Hayes - I. Stewart - C. Cunningham - J. Duren - A. Thompson,DET,8,100.131667,-22.0,K. Hayes,I. Stewart,C. Cunningham,J. Duren,A. Thompson
L. Markkanen - J. Collins - C. Sexton - T. Hendricks - K. George,UTA,9,99.3,-8.0,L. Markkanen,J. Collins,C. Sexton,T. Hendricks,K. George
A. Davis - S. Dinwiddie - D. Russell - R. Hachimura - A. Reaves,LAL,14,99.046667,1.0,A. Davis,S. Dinwiddie,D. Russell,R. Hachimura,A. Reaves
K. Lowry - T. Harris - K. Oubre Jr. - M. Bamba - T. Maxey,PHI,7,99.028333,0.0,K. Lowry,T. Harris,K. Oubre Jr.,M. Bamba,T. Maxey
R. Gobert - K. Anderson - N. Alexander-Walker - N. Reid - A. Edwards,MIN,35,98.94,60.0,R. Gobert,K. Anderson,N. Alexander-Walker,N. Reid,A. Edwards
K. Irving - D. Jones Jr. - L. Doncic - G. Williams - D. Lively II,DAL,12,98.8,-4.0,K. Irving,D. Jones Jr.,L. Doncic,G. Williams,D. Lively II
Z. Collins - K. Johnson - D. Vassell - T. Jones - J. Sochan,SAS,32,98.091667,-17.0,Z. Collins,K. Johnson,D. Vassell,T. Jones,J. Sochan
R. Westbrook - K. Leonard - N. Powell - D. Theis - A. Coffey,LAC,20,97.788333,6.0,R. Westbrook,K. Leonard,N. Powell,D. Theis,A. Coffey
D. DeRozan - N. Vucevic - Z. LaVine - T. Craig - C. White,CHI,11,97.65,-72.0,D. DeRozan,N. Vucevic,Z. LaVine,T. Craig,C. White
A. Davis - D. Russell - T. Prince - R. Hachimura - A. Reaves,LAL,25,96.876667,-4.0,A. Davis,D. Russell,T. Prince,R. Hachimura,A. Reaves
D. Ayton - S. Henderson - J. Walker - K. Murray - R. Rupert,POR,8,96.628333,-27.0,D. Ayton,S. Henderson,J. Walker,K. Murray,R. Rupert
J. Holiday - J. Tatum - L. Kornet - P. Pritchard - S. Hauser,BOS,22,96.24,54.0,J. Holiday,J. Tatum,L. Kornet,P. Pritchard,S. Hauser
J. Randle - I. Hartenstein - J. Hart - J. Brunson - I. Quickley,NYK,26,95.631667,59.0,J. Randle,I. Hartenstein,J. Hart,J. Brunson,I. Quickley
C. LeVert - D. Mitchell - J. Allen - M. Strus - I. Okoro,CLE,23,94.41,2.0,C. LeVert,D. Mitchell,J. Allen,M. Strus,I. Okoro
C. Paul - S. Curry - K. Thompson - A. Wiggins - K. Looney,GSW,14,93.346667,40.0,C. Paul,S. Curry,K. Thompson,A. Wiggins,K. Looney
B. Lopez - D. Lillard - B. Portis - P. Connaughton - M. Beasley,MIL,33,92.653333,43.0,B. Lopez,D. Lillard,B. Portis,P. Connaughton,M. Beasley
T. Jones - K. Kuzma - J. Poole - D. Avdija - B. Coulibaly,WAS,15,91.933333,-58.0,T. Jones,K. Kuzma,J. Poole,D. Avdija,B. Coulibaly
I. Stewart - C. Cunningham - J. Ivey - J. Duren - S. Fontecchio,DET,9,90.393333,16.0,I. Stewart,C. Cunningham,J. Ivey,J. Duren,S. Fontecchio
K. Durant - B. Beal - D. Booker - G. Allen - D. Eubanks,PHX,17,90.248333,-27.0,K. Durant,B. Beal,D. Booker,G. Allen,D. Eubanks
R. Jackson - K. Caldwell-Pope - N. Jokic - C. Braun - P. Watson,DEN,40,90.151667,-9.0,R. Jackson,K. Caldwell-Pope,N. Jokic,C. Braun,P. Watson
L. James - A. Davis - S. Dinwiddie - R. Hachimura - A. Reaves,LAL,20,89.521667,14.0,L. James,A. Davis,S. Dinwiddie,R. Hachimura,A. Reaves
J. Valanciunas - B. Ingram - Z. Williamson - H. Jones - D. Daniels,NOP,11,89.428333,36.0,J. Valanciunas,B. Ingram,Z. Williamson,H. Jones,D. Daniels
B. Bogdanovic - K. Knox II - C. Cunningham - J. Ivey - J. Duren,DET,10,89.323333,5.0,B. Bogdanovic,K. Knox II,C. Cunningham,J. Ivey,J. Duren
J. Grant - M. Brogdon - A. Simons - D. Ayton - J. Walker,POR,6,88.588333,-9.0,J. Grant,M. Brogdon,A. Simons,D. Ayton,J. Walker
Z. Collins - K. Johnson - D. Vassell - J. Sochan - V. Wembanyama,SAS,11,88.433333,-35.0,Z. Collins,K. Johnson,D. Vassell,J. Sochan,V. Wembanyama
K. Irving - P. Washington - L. Doncic - J. Green - D. Lively II,DAL,9,87.8,27.0,K. Irving,P. Washington,L. Doncic,J. Green,D. Lively II
J. Ingles - J. Isaac - M. Wagner - C. Anthony - A. Black,ORL,11,87.591667,34.0,J. Ingles,J. Isaac,M. Wagner,C. Anthony,A. Black
H. Barnes - D. Sabonis - K. Huerter - K. Murray - K. Ellis,SAC,12,87.448333,18.0,H. Barnes,D. Sabonis,K. Huerter,K. Murray,K. Ellis
A. Horford - J. Holiday - K. Porzingis - J. Tatum - D. White,BOS,12,87.355,26.0,A. Horford,J. Holiday,K. Porzingis,J. Tatum,D. White
G. Hayward - T. Rozier - M. Bridges - N. Richards - B. Miller,CHA,7,86.855,4.0,G. Hayward,T. Rozier,M. Bridges,N. Richards,B. Miller
T. Jones - K. Kuzma - D. Avdija - C. Kispert - B. Coulibaly,WAS,9,86.831667,-9.0,T. Jones,K. Kuzma,D. Avdija,C. Kispert,B. Coulibaly
R. Jackson - Z. Nnaji - J. Strawther - C. Braun - P. Watson,DEN,17,86.375,-29.0,R. Jackson,Z. Nnaji,J. Strawther,C. Braun,P. Watson
J. Giddey - A. Wiggins - C. Holmgren - J. Williams - C. Wallace,OKC,16,86.3,4.0,J. Giddey,A. Wiggins,C. Holmgren,J. Williams,C. Wallace
D. DeRozan - N. Vucevic - T. Craig - C. White - A. Dosunmu,CHI,21,85.266667,-24.0,D. DeRozan,N. Vucevic,T. Craig,C. White,A. Dosunmu
Z. Collins - K. Johnson - M. Branham - J. Sochan - V. Wembanyama,SAS,10,83.733333,-27.0,Z. Collins,K. Johnson,M. Branham,J. Sochan,V. Wembanyama
J. Clarkson - L. Markkanen - J. Collins - T. Horton-Tucker - W. Kessler,UTA,8,83.628333,-37.0,J. Clarkson,L. Markkanen,J. Collins,T. Horton-Tucker,W. Kessler
B. Bogdanovic - T. Young - G. Mathews - O. Okongwu - J. Johnson,ATL,12,83.31,8.0,B. Bogdanovic,T. Young,G. Mathews,O. Okongwu,J. Johnson
A. Horford - K. Porzingis - J. Brown - D. White - S. Hauser,BOS,30,82.171667,30.0,A. Horford,K. Porzingis,J. Brown,D. White,S. Hauser
B. Bogdanovic - D. Murray - D. Hunter - O. Okongwu - S. Bey,ATL,18,81.9,25.0,B. Bogdanovic,D. Murray,D. Hunter,O. Okongwu,S. Bey
J. Harden - P. George - I. Zubac - A. Coffey - T. Mann,LAC,12,81.535,-25.0,J. Harden,P. George,I. Zubac,A. Coffey,T. Mann
D. Jordan - R. Jackson - J. Murray - C. Braun - P. Watson,DEN,16,81.353333,-15.0,D. Jordan,R. Jackson,J. Murray,C. Braun,P. Watson
G. Harris - J. Isaac - M. Wagner - C. Anthony - F. Wagner,ORL,18,80.651667,27.0,G. Harris,J. Isaac,M. Wagner,C. Anthony,F. Wagner
J. Ingles - M. Fultz - J. Isaac - M. Wagner - C. Anthony,ORL,13,80.166667,10.0,J. Ingles,M. Fultz,J. Isaac,M. Wagner,C. Anthony
D. Schroder - D. Finney-Smith - M. Bridges - N. Claxton - C. Johnson,BKN,12,79.695,-5.0,D. Schroder,D. Finney-Smith,M. Bridges,N. Claxton,C. Johnson
D. Schroder - J. Poeltl - P. Siakam - G. Trent Jr. - S. Barnes,TOR,16,79.631667,2.0,D. Schroder,J. Poeltl,P. Siakam,G. Trent Jr.,S. Barnes
D. Brooks - J. Green - A. Sengun - J. Smith Jr. - A. Thompson,HOU,10,79.506667,-14.0,D. Brooks,J. Green,A. Sengun,J. Smith Jr.,A. Thompson
K. Lowry - J. Butler - B. Adebayo - D. Robinson - H. Highsmith,MIA,9,79.351667,20.0,K. Lowry,J. Butler,B. Adebayo,D. Robinson,H. Highsmith
T. Jones - K. Kuzma - D. Gafford - C. Kispert - B. Coulibaly,WAS,23,79.091667,-30.0,T. Jones,K. Kuzma,D. Gafford,C. Kispert,B. Coulibaly
J. Green - A. Holiday - J. Smith Jr. - A. Thompson - C. Whitmore,HOU,16,79.04,-20.0,J. Green,A. Holiday,J. Smith Jr.,A. Thompson,C. Whitmore
G. Hayward - P. Washington - L. Ball - M. Williams - B. Miller,CHA,8,78.793333,-5.0,G. Hayward,P. Washington,L. Ball,M. Williams,B. Miller
L. James - A. Davis - D. Russell - T. Prince - M. Christie,LAL,10,78.533333,20.0,L. James,A. Davis,D. Russell,T. Prince,M. Christie
L. Nance Jr. - Z. Williamson - N. Marshall - T. Murphy III - J. Alvarado,NOP,15,78.236667,53.0,L. Nance Jr.,Z. Williamson,N. Marshall,T. Murphy III,J. Alvarado
K. Lowry - J. Butler - C. Martin - D. Robinson - O. Robinson,MIA,7,78.183333,2.0,K. Lowry,J. Butler,C. Martin,D. Robinson,O. Robinson
K. Durant - E. Gordon - D. Booker - G. Allen - D. Eubanks,PHX,21,77.573333,-17.0,K. Durant,E. Gordon,D. Booker,G. Allen,D. Eubanks
J. Hart - J. Brunson - D. DiVincenzo - P. Achiuwa - M. McBride,NYK,13,77.506667,-3.0,J. Hart,J. Brunson,D. DiVincenzo,P. Achiuwa,M. McBride
C. Capela - B. Bogdanovic - D. Murray - D. Hunter - S. Bey,ATL,22,77.421667,19.0,C. Capela,B. Bogdanovic,D. Murray,D. Hunter,S. Bey
J. Green - F. VanVleet - D. Brooks - J. Green - A. Sengun,HOU,18,76.976667,7.0,J. Green,F. VanVleet,D. Brooks,J. Green,A. Sengun
C. Osman - K. Johnson - M. Branham - B. Wesley - V. Wembanyama,SAS,15,75.355,-4.0,C. Osman,K. Johnson,M. Branham,B. Wesley,V. Wembanyama
T. Harris - K. Oubre Jr. - D. Melton - T. Maxey - P. Reed,PHI,8,74.45,16.0,T. Harris,K. Oubre Jr.,D. Melton,T. Maxey,P. Reed
